Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
"Allerton/Pelham Gardens, Bronx",Bus Station,Pharmacy,Deli / Bodega,Chinese Restaurant,Donut Shop,Sandwich Place,Plaza,Pizza Place,Liquor Store,Grocery Store
"Alphabet City, Manhattan",Coffee Shop,Japanese Restaurant,Pizza Place,Ice Cream Shop,Grocery Store,Juice Bar,Italian Restaurant,Bar,Speakeasy,American Restaurant
"Arden Heights, Staten Island",Trail,Construction & Landscaping,Asian Restaurant,Arts & Crafts Store,Bowling Alley,Dessert Shop,Farm,Fast Food Restaurant,Field,Filipino Restaurant
"Arrochar/Fort Wadsworth, Staten Island",Deli / Bodega,College Gym,Food Truck,Bus Stop,Park,Bar,Furniture / Home Store,Pizza Place,Historic Site,Event Service
"Astoria Park, Queens",Park,Playground,Deli / Bodega,Bar,Italian Restaurant,Pharmacy,Basketball Court,Tennis Stadium,Nail Salon,Steakhouse
"Astoria, Queens",Greek Restaurant,Thai Restaurant,Salon / Barbershop,Grocery Store,Chinese Restaurant,Bakery,Bar,Burger Joint,Bagel Shop,Café
"Auburndale, Queens",Café,Pet Store,Greek Restaurant,Korean Restaurant,Donut Shop,Mexican Restaurant,Bank,Modern Greek Restaurant,Pharmacy,Pizza Place
"Baisley Park, Queens",Chinese Restaurant,Pizza Place,Caribbean Restaurant,Fried Chicken Joint,African Restaurant,Bus Station,Park,Zoo,Flea Market,Fast Food Restaurant
"Bath Beach, Brooklyn",Japanese Restaurant,Pizza Place,Sandwich Place,Tanning Salon,Moving Target,Cantonese Restaurant,Peruvian Restaurant,Bank,Gymnastics Gym,Bagel Shop
"Battery Park City, Manhattan",Hotel,Park,Coffee Shop,Gym,Plaza,Memorial Site,Jewelry Store,Gourmet Shop,Shopping Mall,Performing Arts Venue
"Battery Park, Manhattan",Park,Mexican Restaurant,Gym,Donut Shop,Cocktail Bar,Bar,Gym / Fitness Center,Seafood Restaurant,Plaza,Monument / Landmark
"Bay Ridge, Brooklyn",Chinese Restaurant,Dessert Shop,Seafood Restaurant,Donut Shop,Noodle House,Rental Car Location,Tea Room,Wine Shop,Bubble Tea Shop,Fried Chicken Joint
"Bay Terrace/Fort Totten, Queens",Supermarket,Italian Restaurant,Sushi Restaurant,Salon / Barbershop,Liquor Store,Shipping Store,Ice Cream Shop,Insurance Office,Donut Shop,Fast Food Restaurant
"Bayside, Queens",Bar,Korean Restaurant,Sandwich Place,Ice Cream Shop,Asian Restaurant,Pizza Place,Coffee Shop,Thai Restaurant,Bakery,Pharmacy
"Bedford Park, Bronx",Chinese Restaurant,Pizza Place,Diner,Mexican Restaurant,Deli / Bodega,Bus Station,Park,Sandwich Place,Supermarket,Bar
"Bedford, Brooklyn",Bar,Cocktail Bar,Hotel,Italian Restaurant,American Restaurant,Bakery,Flea Market,Bowling Alley,Coffee Shop,Gym / Fitness Center
